Code,Name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EAS,东亚与太平洋地区,9.34E+11,1.03E+12,1.22E+12,1.54E+12,1.68E+12,1.81E+12,2.00E+12,1.96E+12,2.08E+12,2.23E+12,2.36E+12,3.08E+12,3.62E+12,4.35E+12,4.53E+12,4.73E+12,5.34E+12,5.84E+12,6.53E+12,7.30E+12,8.30E+12,7.99E+12,7.65E+12,6.86E+12,7.66E+12,8.28E+12,7.70E+12,7.82E+12,8.60E+12,9.65E+12,1.03E+13,1.09E+13,1.22E+13,1.41E+13,1.45E+13,1.69E+13,1.96E+13,2.10E+13,2.13E+13,2.19E+13,2.18E+13,2.25E+13
ECA,欧洲与中亚地区（不包括高收入）,,,,,,,,,,,,,,9.04E+11,8.78E+11,9.33E+11,9.00E+11,8.29E+11,8.14E+11,7.07E+11,7.55E+11,7.64E+11,7.96E+11,7.47E+11,6.27E+11,6.98E+11,6.94E+11,7.93E+11,1.00E+12,1.33E+12,1.68E+12,2.06E+12,2.67E+12,3.31E+12,2.60E+12,3.10E+12,3.83E+12,4.05E+12,4.31E+12,4.02E+12,3.07E+12,2.94E+12
ECS,欧洲与中亚地区,2.30E+12,2.39E+12,2.71E+12,3.31E+12,4.05E+12,4.59E+12,4.08E+12,3.93E+12,3.82E+12,3.67E+12,3.80E+12,5.18E+12,6.40E+12,7.13E+12,7.22E+12,8.83E+12,9.11E+12,9.77E+12,8.98E+12,9.39E+12,1.08E+13,1.11E+13,1.05E+13,1.08E+13,1.06E+13,1.00E+13,1.01E+13,1.11E+13,1.35E+13,1.57E+13,1.67E+13,1.81E+13,2.12E+13,2.32E+13,2.04E+13,2.09E+13,2.32E+13,2.24E+13,2.34E+13,2.37E+13,2.04E+13,2.03E+13
ECU,厄瓜多尔,7731677257,9091924305,11026346590,11922502171,14175166008,17881514683,21810767209,19929853575,17152483214,16912515183,17149094590,15314143988,13945431882,13051886552,13890828708,15239278100,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000,99937696000
EGY,阿拉伯埃及共和国,11632178869,13315988083,14400806876,14811704063,18020571429,22912500556,22136081081,27655172414,30966239814,33971188992,39053502251,41253507951,40455616654,34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,97632008710,87850683979,82924503943,78845185293,89685725230,1.07E+11,1.30E+11,1.63E+11,1.89E+11,2.19E+11,2.36E+11,2.79E+11,2.89E+11,3.06E+11,3.33E+11,3.33E+11
EMU,欧洲货币联盟,1.50E+12,1.56E+12,1.78E+12,2.18E+12,2.64E+12,2.95E+12,2.57E+12,2.49E+12,2.43E+12,2.33E+12,2.39E+12,3.35E+12,4.15E+12,4.56E+12,4.66E+12,5.87E+12,6.10E+12,6.73E+12,6.16E+12,6.51E+12,7.51E+12,7.60E+12,6.95E+12,7.14E+12,7.11E+12,6.48E+12,6.59E+12,7.17E+12,8.84E+12,1.01E+13,1.05E+13,1.12E+13,1.29E+13,1.41E+13,1.29E+13,1.27E+13,1.36E+13,1.27E+13,1.32E+13,1.35E+13,1.17E+13,1.20E+13
ERI,厄立特里亚,,,,,,,,,,,,,,,,,,477101651.6,467872714.8,531688311.7,578015625,693535954.2,686490090.1,745526154.9,688921325.7,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,2117039512,2607739837,,,,,
ESP,西班牙,1.14E+11,1.18E+11,1.32E+11,1.60E+11,2.14E+11,2.32E+11,2.02E+11,1.95E+11,1.70E+11,1.72E+11,1.80E+11,2.51E+11,3.18E+11,3.75E+11,4.14E+11,5.35E+11,5.76E+11,6.29E+11,5.24E+11,5.29E+11,6.13E+11,6.41E+11,5.89E+11,6.17E+11,6.33E+11,5.95E+11,6.26E+11,7.05E+11,9.07E+11,1.07E+12,1.16E+12,1.26E+12,1.48E+12,1.64E+12,1.50E+12,1.43E+12,1.49E+12,1.34E+12,1.36E+12,1.38E+12,1.20E+12,1.24E+12
EST,爱沙尼亚,,,,,,,,,,,,,,,,,,,,,4373665146,4746109767,5066240419,5617109245,5726897998,5685774809,6245069734,7322069511,9833870709,12059201242,14006088297,16963625016,22237061730,24194039256,19652492637,19490936349,23170239901,23043864510,25137153149,26615854605,22904456872,23984296771
ETH,埃塞俄比亚,,,,,,,7324903188,7707678019,8567890821,8096302367,9480840483,9848600870,10527338647,10908935749,11476584879,12175166763,13463868357,10492993078,8830712714,6927950565,7663984568,8547939731,8589211390,7818224906,7700833482,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64464547915,73000980434
EUU,欧洲联盟,1.93E+12,1.99E+12,2.26E+12,2.77E+12,3.38E+12,3.86E+12,3.41E+12,3.29E+12,3.19E+12,3.06E+12,3.16E+12,4.33E+12,5.36E+12,5.98E+12,6.11E+12,7.57E+12,7.86E+12,8.56E+12,7.81E+12,8.29E+12,9.62E+12,9.83E+12,9.28E+12,9.60E+12,9.58E+12,8.91E+12,9.00E+12,9.82E+12,1.19E+13,1.38E+13,1.44E+13,1.54E+13,1.78E+13,1.91E+13,1.71E+13,1.70E+13,1.84E+13,1.73E+13,1.81E+13,1.87E+13,1.64E+13,1.65E+13
FCS,脆弱和受衝突影響的情況下,,,,,,,,,,,,,,,,,,,,,,,,,,2.18E+11,2.00E+11,1.92E+11,2.18E+11,2.53E+11,3.07E+11,3.64E+11,4.47E+11,5.78E+11,5.41E+11,6.45E+11,7.09E+11,8.16E+11,8.51E+11,8.61E+11,7.82E+11,7.47E+11
FIN,芬兰,29494515597,31873171719,33524682308,36283091408,44498283621,53685049410,52485533205,52832120390,51014090521,52926394935,55914236378,73586676050,91642093873,1.09E+11,1.19E+11,1.42E+11,1.28E+11,1.13E+11,89255751015,1.03E+11,1.34E+11,1.32E+11,1.27E+11,1.34E+11,1.35E+11,1.26E+11,1.29E+11,1.40E+11,1.71E+11,1.97E+11,2.04E+11,2.17E+11,2.55E+11,2.84E+11,2.51E+11,2.48E+11,2.74E+11,2.57E+11,2.70E+11,2.73E+11,2.33E+11,2.39E+11
FJI,斐济,684268280.8,694552411.7,719533137.1,829239489.8,1019743927,1202567359,1235899836,1194015444,1123107276,1177997414,1141210125,1290228617,1177908192,1109976928,1182686577,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4483416340,4362128146,4671313315
FRA,法国,3.61E+11,3.72E+11,4.10E+11,5.07E+11,6.14E+11,7.01E+11,6.16E+11,5.85E+11,5.60E+11,5.31E+11,5.53E+11,7.71E+11,9.34E+11,1.02E+12,1.03E+12,1.27E+12,1.27E+12,1.40E+12,1.32E+12,1.39E+12,1.60E+12,1.61E+12,1.45E+12,1.50E+12,1.49E+12,1.36E+12,1.38E+12,1.49E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12
FRO,法罗群岛,,,,,,,,,,,,,,,,,,,,,,,,1105688873,1125684470,1062339944,1154899793,1268445919,1486861879,1683997930,1730894295,1970135199,2278229880,2413251996,2257083699,2301168187,2468754075,2356495468,2613464380,2810547884,2476746087,
FSM,密克罗尼西亚联邦,,,,,,,,,106500000,,,112210000,116700000,124700000,135200000,147200000,166200000,178100000,198400000,202500000,222103600,218845700,206900300,219646200,220660500,233226300,240051900,241543400,245277400,240097000,250149400,253372300,256548100,262868600,279966700,296525300,310502100,326128700,316040600,317999400,315179700,329895600
GAB,加蓬,2157592937,3009409971,2809349074,2389479269,3030251116,4279637934,3862269127,3618007844,3391275731,3561451562,3339914759,3403638194,3281797039,3834503378,4186411457,5952293766,5402919957,5592390849,4378645081,4190819314,4958845906,5694040337,5326816859,4483417120,4662992036,5067865321,5018874179,5310381151,6497305662,7756293575,9578973591,10318424464,12438956756,15508574820,12065138273,14358584300,18186478120,17171447372,17590745162,18179752010,14377324798,14014369642
GBR,英国,2.42E+11,2.33E+11,2.63E+11,3.36E+11,4.39E+11,5.65E+11,5.41E+11,5.15E+11,4.90E+11,4.61E+11,4.89E+11,6.01E+11,7.45E+11,9.10E+11,9.27E+11,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.34E+12,1.41E+12,1.55E+12,1.64E+12,1.67E+12,1.65E+12,1.62E+12,1.77E+12,2.04E+12,2.40E+12,2.52E+12,2.69E+12,3.07E+12,2.89E+12,2.38E+12,2.45E+12,2.63E+12,2.68E+12,2.75E+12,3.03E+12,2.90E+12,2.66E+12
GEO,格鲁吉亚,,,,,,,,,,,,,,,,7753501868,6357615894,3690328964,2701181331,2513870587,2693731866,3094915511,3510540844,3613500133,2800024338,3057453468,3219487752,3395739837,3991281531,5125362833,6410847045,7745401718,10172869674,12795044475,10766809096,11638536862,14434619972,15846474598,16140047042,16509305829,13993546748,14378016729
GHA,加纳,2810106383,2765254237,3189428571,3662478185,4020227920,4445228216,4222441615,4035994398,4057275043,4412279843,4504342149,5727602645,5074829932,5197840979,5251764264,5889174825,6596546196,6413901602,5966255778,5444560669,6465137615,6934984709,6891308594,7480968858,7719354839,4983024408,5314909954,6166330136,7632406553,8881368538,10731634117,20409668522,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,63277216929,53601126664,49181854798,55009730600
GIB,直布罗陀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,几内亚,,,,,,,,,,,,1922600899,2041538057,2384295764,2432029380,2666616177,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588376057,3461282294,2995360969,2833442750,2949637039,3446442219,3666349049,2937071767,4220019228,6281917560,6964179255,6716904635,6853467936,6785137222,7638045248,8376613797,8778473641,8794202410,8694360305
GMB,冈比亚,115182522.1,112189468.5,138094243.3,171836793.4,207114382.5,241080708.9,218764445.8,216051496,213446562.6,177338801.9,225724851.7,185646209.4,220626484.2,266673126.2,284119692.5,317083373.5,690314321.4,714255460.5,755042548.1,746491692.6,785996982.5,848237108.6,803630742.5,840285264.6,814723460.1,782915402.4,687408804.6,578236035.1,487038821.6,578785951.4,624173239.9,655070067.7,798885556.5,965781078.2,900639534,951806368.7,898290989.9,910026155.7,1367041585,1259063630,1394149615,1442298542
GNB,几内亚比绍共和国,108985740.2,112386489,114971207.2,122666858.8,118537875.1,110653830.7,154731969.7,165523634.5,163577538.3,138478900.6,143856253.1,130225018.8,173836362,164458120.3,213143016.4,243961995.5,257150374.1,226313443.7,236880821.7,235620043.5,253966922.3,270419779.4,268550998.2,206457544.5,224446663.8,370173838.7,392278168.2,415843482,476388260.6,531109356.2,586795675.4,591839470.7,695990208.4,864654795.3,826798659.8,849050127.5,1098379392,989327811.8,1045790133,1053512334,1047808175,1178204501
GNQ,赤道几内亚,104295643.4,103653049.9,103987520.1,,,50642880.77,36731422.85,44294647.73,44442456.95,50320914.41,62118564.85,76407396.76,93345847.73,100534663.3,88265974.58,112119406.5,110906032.1,134707184.4,136047896.2,100807001.8,141853368.3,232463036.4,442337849.5,370687618.7,621117885.7,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16298542028,21329395901,22389626329,21942597765,21736500713,13180195435,11260900826
GRC,希腊,28525872476,31152840485,36176233117,44270203154,54481875805,56829663469,52346507380,54617991327,49428872678,48020024788,47820850975,56379593720,65652751132,76261278405,79169043642,97891090929,1.05E+11,1.16E+11,1.09E+11,1.17E+11,1.37E+11,1.46E+11,1.43E+11,1.44E+11,1.43E+11,1.30E+11,1.36E+11,1.54E+11,2.02E+11,2.41E+11,2.48E+11,2.73E+11,3.18E+11,3.54E+11,3.30E+11,2.99E+11,2.88E+11,2.46E+11,2.40E+11,2.37E+11,1.97E+11,1.95E+11
GRD,格林纳达,,,71494495.19,88322386.3,102244362.2,110900457,115651918.9,125435590,131803552.2,145533310.7,167728455.2,187589522.6,215009569.6,236357523.7,267327642.2,278098763,300757888.9,310160444.4,309812185.2,325111814.8,342172518.5,366911444.4,392190592.6,445903592.6,482009370.4,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695370296.3,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061631222
GRL,格陵兰,211194305.7,240780413.6,282269373,355989047.3,420642463.4,476055288.4,435746974.8,402405069.4,416183706.9,379371608.4,412876071.1,603015696.5,787392365.8,898611007.9,929796722.4,1018970365,1016493395,1037921837,927219728.9,1005879948,1208946166,1197509787,1072147778,1149862703,1131561595,1068030830,1086172923,1169138789,1558768614,1825157317,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2669515517,2837737194,2520206900,2705898956
GTM,危地马拉,3645900000,4365300200,5480500200,6070600200,6902600200,7878700000,8607500300,8716999700,9050000400,9470000100,9721652087,7231963516,7084399840,7841602824,8410724361,7650125217,9406097735,10440842165,11399942453,12983235568,14655404433,15674835615,17790026222,19395491993,18318412251,19288827159,18702802784,20776669473,21917706485,23965276000,27211377220,30231249362,34113107085,39136954238,37734072276,41338521642,47654783851,50388460920,53851148432,58722323918,63767597194,68663653469
GUM,关岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5336000000,5538000000,5710000000,5793000000
GUY,圭亚那,494791666.7,454440000,449880000,507080000,530440000,603200000,570357107.1,482000000,489333333.3,437631605.3,453488372.1,504651139.5,354591846.9,413799990,379779389.7,396582263.3,348533094.8,373573141.5,454101382.5,540874934.2,621626785.9,705406001.4,749138009.6,717530683.2,694754988.3,712667896.7,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,1458453715,1740180444,1916996252,2061324146,2273224261,2576024016,2861560061,2987684143,3077643261,3197222215,3504024213
HIC,高收入国家,4.73E+12,5.14E+12,5.82E+12,6.96E+12,8.05E+12,8.99E+12,9.13E+12,9.05E+12,9.37E+12,9.74E+12,1.02E+13,1.24E+13,1.44E+13,1.62E+13,1.69E+13,1.91E+13,2.02E+13,2.18E+13,2.20E+13,2.35E+13,2.61E+13,2.64E+13,2.60E+13,2.61E+13,2.73E+13,2.79E+13,2.76E+13,2.86E+13,3.21E+13,3.57E+13,3.78E+13,3.99E+13,4.37E+13,4.65E+13,4.36E+13,4.58E+13,4.95E+13,4.95E+13,5.01E+13,5.12E+13,4.84E+13,4.94E+13
HKG,中国香港特别行政区,10048022370,12876366009,15719433719,18315007366,22526035941,28861759209,31055409443,32291306282,29907091340,33511383986,35699543051,41075570592,50622571586,59707404561,68790369107,76928290842,88959620136,1.04E+11,1.20E+11,1.36E+11,1.45E+11,1.60E+11,1.77E+11,1.69E+11,1.66E+11,1.72E+11,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11
HND,洪都拉斯,1124000000,1347999950,1669499950,3097242093,3544281976,3968160046,4043894879,4266503526,4476697185,4915311846,5278120713,5677828959,6190521241,5902717092,5432344902,4923009552,4648668470,4943700428,4926728939,4642280683,5347445008,5215028988,5737099646,6366340268,6414520532,7103507989,7565869928,7775078403,8140271081,8772194250,9672035709,10841742348,12275501784,13789715133,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21643936939
HPC,重债穷国 (HIPC),63258430797,67434828645,79576059011,91721595027,1.03E+11,1.08E+11,1.08E+11,1.08E+11,1.02E+11,1.02E+11,1.07E+11,1.23E+11,1.35E+11,1.35E+11,1.31E+11,1.34E+11,1.39E+11,1.27E+11,1.31E+11,1.16E+11,1.32E+11,1.37E+11,1.44E+11,1.51E+11,1.51E+11,1.62E+11,1.55E+11,1.66E+11,1.90E+11,2.18E+11,2.48E+11,2.96E+11,3.53E+11,4.26E+11,4.29E+11,4.74E+11,5.30E+11,5.69E+11,6.36E+11,6.73E+11,6.67E+11,6.75E+11
HRV,克罗地亚,,,,,,,,,,,,,,,,,,,,,22387561849,23678012697,23822087054,25432144400,23386945603,21774273832,23289671101,26868450815,34667270716,41523418158,45347181466,50375095636,60093896109,70474602564,62754161039,59844207749,62404149310,56548374546,58147688052,57671307487,49490142433,51640880494
HTI,海地,681400000,879000000,947000000,974200000,1080600000,1383800000,1479400000,1474200000,1623600000,1816200000,2009400000,2318000000,2047200000,2613926800,2736243800,3096289800,3473540602,2257121668,1878248741,2167564195,2813313279,2907514523,3338938830,3723909227,4153736347,3953846311,3596443005,3472191962,2960306121,3537720277,4310358096,4756204070,5885325590,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776350790,8724656126,7970649131
HUN,匈牙利,,,,,,,,,,,,,,,,,34748508332,38724945368,40119073326,43160392124,46418916500,46659796773,47290180589,48770466839,49170434391,47310623887,53821315066,67716887203,85324771841,1.04E+11,1.13E+11,1.15E+11,1.40E+11,1.58E+11,1.31E+11,1.31E+11,1.41E+11,1.28E+11,1.35E+11,1.40E+11,1.23E+11,1.26E+11
IBD,只有IBRD,1.17E+12,1.28E+12,1.45E+12,1.56E+12,1.87E+12,2.21E+12,2.39E+12,2.37E+12,2.34E+12,2.40E+12,2.54E+12,2.64E+12,2.71E+12,2.93E+12,3.05E+12,3.46E+12,3.72E+12,3.71E+12,3.98E+12,4.35E+12,4.89E+12,5.34E+12,5.66E+12,5.50E+12,5.34E+12,5.81E+12,5.89E+12,5.99E+12,6.74E+12,8.02E+12,9.59E+12,1.14E+13,1.41E+13,1.70E+13,1.65E+13,2.00E+13,2.36E+13,2.51E+13,2.66E+13,2.75E+13,2.59E+13,2.61E+13
IBT,IBRD与IDA,1.33E+12,1.44E+12,1.62E+12,1.76E+12,2.10E+12,2.48E+12,2.81E+12,2.77E+12,2.66E+12,2.70E+12,2.84E+12,2.94E+12,3.02E+12,3.25E+12,3.36E+12,3.79E+12,4.07E+12,4.04E+12,4.30E+12,4.66E+12,5.24E+12,5.73E+12,6.06E+12,5.91E+12,5.76E+12,6.26E+12,6.34E+12,6.47E+12,7.29E+12,8.66E+12,1.03E+13,1.23E+13,1.52E+13,1.83E+13,1.77E+13,2.15E+13,2.53E+13,2.69E+13,2.85E+13,2.96E+13,2.80E+13,2.81E+13
IDA,IDA總,1.58E+11,1.65E+11,1.80E+11,2.04E+11,2.37E+11,2.80E+11,4.13E+11,3.90E+11,3.26E+11,2.99E+11,3.09E+11,3.05E+11,3.19E+11,3.26E+11,3.20E+11,3.41E+11,3.46E+11,3.33E+11,3.17E+11,3.07E+11,3.53E+11,3.87E+11,4.02E+11,4.08E+11,4.18E+11,4.57E+11,4.53E+11,4.88E+11,5.48E+11,6.44E+11,7.49E+11,9.17E+11,1.08E+12,1.29E+12,1.27E+12,1.46E+12,1.66E+12,1.79E+12,1.97E+12,2.13E+12,2.09E+12,2.04E+12
IDB,IDA混合,58498903315,71132838871,74559322894,80770135791,99382201344,1.28E+11,2.48E+11,2.27E+11,1.73E+11,1.48E+11,1.48E+11,1.33E+11,1.37E+11,1.42E+11,1.37E+11,1.48E+11,1.50E+11,1.48E+11,1.32E+11,1.35E+11,1.56E+11,1.73E+11,1.77E+11,1.74E+11,1.81E+11,1.99E+11,2.00E+11,2.21E+11,2.48E+11,3.03E+11,3.64E+11,4.71E+11,5.44E+11,6.48E+11,6.06E+11,7.07E+11,8.16E+11,8.99E+11,9.77E+11,1.06E+12,1.00E+12,9.29E+11
IDN,印度尼西亚,30463855422,37269156627,45808915663,51455719100,51400186379,72482337370,85518233451,90158449307,81052283405,84853699994,85289491750,79954072570,75929617577,84300174477,94451427898,1.06E+11,1.17E+11,1.28E+11,1.58E+11,1.77E+11,2.02E+11,2.27E+11,2.16E+11,95445547873,1.40E+11,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11
IDX,只有IDA,1.02E+11,94127190485,1.06E+11,1.25E+11,1.39E+11,1.51E+11,1.54E+11,1.53E+11,1.47E+11,1.48E+11,1.58E+11,1.70E+11,1.81E+11,1.83E+11,1.81E+11,1.91E+11,1.95E+11,1.83E+11,1.85E+11,1.70E+11,1.94E+11,2.12E+11,2.22E+11,2.31E+11,2.34E+11,2.55E+11,2.50E+11,2.64E+11,2.97E+11,3.37E+11,3.80E+11,4.40E+11,5.24E+11,6.36E+11,6.56E+11,7.44E+11,8.40E+11,8.86E+11,9.86E+11,1.06E+12,1.08E+12,1.10E+12
IMN,马恩岛,,,,,,,,,,,,,,,,,,,,,914727080.6,1023086919,1180919719,1382548250,1567465657,1563667800,1659249982,1947408065,2328854756,2822228369,3032409189,3422651334,4466100440,5928601103,5487083658,5920177689,6566098382,6433357030,6754330155,7428280402,6792417112,6592627599
IND,印度,98472798814,1.03E+11,1.21E+11,1.37E+11,1.53E+11,1.86E+11,1.93E+11,2.01E+11,2.18E+11,2.12E+11,2.33E+11,2.49E+11,2.79E+11,2.97E+11,2.96E+11,3.21E+11,2.70E+11,2.88E+11,2.79E+11,3.27E+11,3.60E+11,3.93E+11,4.16E+11,4.21E+11,4.59E+11,4.68E+11,4.85E+11,5.15E+11,6.08E+11,7.09E+11,8.20E+11,9.40E+11,1.22E+12,1.20E+12,1.34E+12,1.68E+12,1.82E+12,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.29E+12
INX,未分类国家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,爱尔兰,9495166028,9465078404,11261811100,14665538508,18341273856,21773901764,20694944733,21500472055,20790917686,20130728786,21295486383,28748960471,33961142322,37818134253,39285385088,49364681256,49847128533,55985506499,52480253169,57166037102,69222626263,75880632560,82826146132,90082034316,98691849563,99853528653,1.09E+11,1.28E+11,1.64E+11,1.94E+11,2.12E+11,2.32E+11,2.70E+11,2.75E+11,2.36E+11,2.22E+11,2.38E+11,2.25E+11,2.39E+11,2.59E+11,2.91E+11,3.02E+11
IRN,伊朗伊斯兰共和国,51776222350,68055295080,80600122701,77994316622,90391877325,94362275580,1.00E+11,1.26E+11,1.56E+11,1.62E+11,1.80E+11,2.09E+11,1.34E+11,1.23E+11,1.20E+11,1.25E+11,,,63743623232,71841461173,96419225744,1.20E+11,1.14E+11,1.10E+11,1.14E+11,1.10E+11,1.27E+11,1.29E+11,1.54E+11,1.90E+11,2.26E+11,2.66E+11,3.50E+11,4.06E+11,4.14E+11,4.87E+11,5.84E+11,5.99E+11,4.67E+11,4.34E+11,3.86E+11,4.19E+11
IRQ,伊拉克,13458516763,17754825601,19838130715,23762275652,37816457839,53405689130,38424991534,42595309883,40595046639,46802508845,48284979093,47127693792,56609842393,62503055645,65641363783,1.80E+11,,,,,,,,,,,,,,36627901762,49954890353,65140293688,88840050497,1.32E+11,1.12E+11,1.39E+11,1.86E+11,2.18E+11,2.35E+11,2.35E+11,1.77E+11,1.71E+11
ISL,冰岛,1386032921,1644755723,2175791271,2474614621,2811162819,3331325038,3441249882,3159121961,2724974073,2822006039,2939845038,3930518366,5438537482,6016168896,5588533007,6372905073,6807365898,6976080331,6126456175,6294803497,7018100153,7330965239,7548912105,8453704212,8917286036,8927140438,8136345144,9207689916,11316441660,13722824251,16691490114,17048647568,21319946740,17658408759,12944114736,13683689802,15158548597,14724078264,16033517529,17758089312,17344165907,20716024757
ISR,以色列,15353833333,15176875000,17365700000,16836235294,21505200000,24154568627,25568701754,27826057613,31079439502,29148462483,27493591484,34083532195,40946424370,50078767903,49881433991,58986997917,67530220219,75575902932,75954641355,86307135997,1.00E+11,1.10E+11,1.15E+11,1.16E+11,1.17E+11,1.32E+11,1.31E+11,1.21E+11,1.27E+11,1.35E+11,1.42E+11,1.54E+11,1.79E+11,2.16E+11,2.07E+11,2.34E+11,2.62E+11,2.57E+11,2.93E+11,3.10E+11,3.00E+11,3.19E+11
ITA,意大利,2.27E+11,2.24E+11,2.57E+11,3.14E+11,3.92E+11,4.76E+11,4.29E+11,4.26E+11,4.42E+11,4.36E+11,4.51E+11,6.38E+11,8.03E+11,8.89E+11,9.26E+11,1.18E+12,1.24E+12,1.32E+12,1.06E+12,1.10E+12,1.17E+12,1.31E+12,1.24E+12,1.27E+12,1.25E+12,1.14E+12,1.16E+12,1.27E+12,1.57E+12,1.80E+12,1.85E+12,1.94E+12,2.20E+12,2.39E+12,2.19E+12,2.13E+12,2.28E+12,2.07E+12,2.13E+12,2.15E+12,1.83E+12,1.87E+12
JAM,牙买加,2860411286,2966010230,3249697393,2644449232,2425033998,2679409453,2979061412,3293533288,3619294121,2373566957,2100223150,2754566176,3286987552,3828310735,4404970059,4592224067,4071219198,3530892749,5405097571,5419134875,6538840170,7368000000,8375077443,8763219645,8851581633,8985352832,9178016493,9694169757,9399447609,10150978155,11204416000,11901911988,12827809965,13680482787,12067478478,13200286270,14413359665,14798716216,14193012191,13852192273,14145469269,14072135209
JOR,约旦,1363039400,1708734940,2096568479,2602748691,3271728272,3910036925,4384685230,4680567376,4920407601,4966710013,4993829194,6401380000,6755599114,6277197435,4220945005,4160003917,4344250257,5311329067,5605841536,6237739516,6727446632,6928359238,7246188575,7912327362,8149106065,8460424401,8975689845,9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,21972004086,23820230000,26425379437,28840263380,30937277606,33593843662,35826925775,37517410282,38654727746
JPN,日本,5.22E+11,5.86E+11,7.21E+11,1.01E+12,1.06E+12,1.11E+12,1.22E+12,1.13E+12,1.24E+12,1.32E+12,1.40E+12,2.08E+12,2.53E+12,3.07E+12,3.05E+12,3.13E+12,3.58E+12,3.91E+12,4.45E+12,4.91E+12,5.45E+12,4.83E+12,4.41E+12,4.03E+12,4.56E+12,4.89E+12,4.30E+12,4.12E+12,4.45E+12,4.82E+12,4.76E+12,4.53E+12,4.52E+12,5.04E+12,5.23E+12,5.70E+12,6.16E+12,6.20E+12,5.16E+12,4.85E+12,4.39E+12,4.95E+12
KAZ,哈萨克斯坦,,,,,,,,,,,,,,,,26932728899,24881135586,24906939560,23409027476,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135,18291990619,22152694162,24636593223,30833699703,43151647003,57123671734,81003884545,1.05E+11,1.33E+11,1.15E+11,1.48E+11,1.93E+11,2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11
KEN,肯尼亚,3259344936,3474542392,4494378855,5303734883,6234390975,7265315332,6854491454,6431579357,5979198464,6191437070,6135034338,7239126717,7970820531,8355380879,8283114648,8572359163,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,40000088347,41953433591,50412754861,55096728048,61448041564,64007751188,70875223143
